date,fiscalyr,fee,tonnage,marlene,george,mg
123084,85,28.26,321.14,0,1,0
10685,85,28.26,319.75,0,0,0
11385,85,28.26,199.35,1,0,0
12085,85,28.26,151.59,1,0,0
12785,85,28.26,137.98,0,1,0
20385,85,28.26,106.76,0,1,0
21085,85,28.26,274.99,0,0,0
21785,85,28.26,130.92,1,0,0
22485,85,28.26,197.74,1,0,0
30385,85,28.26,176.36,0,1,0
31085,85,28.26,164.35,0,1,0
31785,85,28.26,207.15,1,0,0
32485,85,28.26,230.36,1,0,0
33185,85,28.26,137.98,1,0,0
40785,85,28.26,312.9,0,1,0
41485,85,28.26,281.77,0,1,0
42185,85,28.26,439.74,0,0,0
42885,85,28.26,353.53,1,0,0
50585,85,28.26,256.97,1,0,0
51285,85,28.26,276.66,0,1,0
51985,85,28.26,340.05,0,1,0
52685,85,28.26,191.8,1,0,0
60285,85,28.26,212.17,1,0,0
60985,85,28.26,206.73,1,0,0
61685,85,28.26,239.24,0,1,0
62385,85,28.26,313.86,0,1,0
63085,86,29.5,279.42,0,0,0
70785,86,29.5,155.24,1,0,0
71485,86,29.5,346.84,1,1,1
72185,86,29.5,324.91,0,1,0
72885,86,29.5,324.4,0,1,0
80485,86,29.5,331.02,0,0,0
81185,86,29.5,255.25,1,0,0
81885,86,29.5,201.89,1,1,1
82585,86,29.5,255.94,0,1,0
90185,86,29.5,195.6,0,1,0
90885,86,29.5,369.24,0,0,0
91585,86,29.5,189.61,0,0,0
92285,86,29.5,118.11,1,1,1
92985,86,29.5,316.31,0,1,0
100685,86,29.5,272.82,0,0,0
101385,86,29.5,473.59,0,0,0
102085,86,29.5,199.8,1,0,0
102785,86,29.5,263.36,1,0,0
110385,86,29.5,231.3,0,1,0
111085,86,29.5,433.51,0,1,0
111785,86,29.5,640.9,0,0,0
112485,86,29.5,266.3,1,0,0
120185,86,29.5,257.53,1,0,0
120885,86,29.5,241.33,0,1,0
121585,86,29.5,116.64,0,1,0
122285,86,29.5,179.07,1,0,0
122985,86,29.5,100.27,1,0,0
10586,86,29.5,132.72,1,0,0
11286,86,29.5,169.79,0,1,0
11986,86,29.5,142.3,0,1,0
12686,86,29.5,246.9,0,0,0
20286,86,29.5,193.04,1,0,0
20986,86,29.5,156.19,1,0,0
21686,86,29.5,138.01,0,1,0
22386,86,29.5,76.64,0,1,0
30286,86,29.5,337.95,0,0,0
30986,86,29.5,116.16,1,0,0
31686,86,29.5,169.87,1,0,0
32386,86,29.5,182.33,0,1,0
33086,86,29.5,257.67,0,1,0
40686,86,29.5,328.78,0,0,0
41386,86,29.5,209.62,1,0,0
42086,86,29.5,256.55,1,0,0
42786,86,29.5,269.12,0,1,0
50486,86,29.5,254.33,0,1,0
51186,86,29.5,480.93,0,0,0
51886,86,29.5,186.58,1,0,0
52586,86,29.5,217.67,1,0,0
60186,86,29.5,141.88,0,1,0
60886,86,29.5,234.61,0,1,0
61586,86,29.5,440.27,0,0,0
62286,86,29.5,154.59,1,0,0
62986,87,32.84,150.32,1,0,0
70686,87,32.84,205.29,0,1,0
71386,87,32.84,157.24,0,1,0
72086,87,32.84,435.41,0,0,0
72786,87,32.84,159.76,1,0,0
80386,87,32.84,204.98,1,0,0
81086,87,32.84,270.76,0,1,0
81786,87,32.84,228.99,0,1,0
82486,87,32.84,546.23,0,0,0
83186,87,32.84,218.89,1,0,0
90786,87,32.84,229.64,1,0,0
91486,87,32.84,251.85,0,1,0
92186,87,32.84,111.06,0,1,0
92886,87,32.84,419.49,0,0,0
100586,87,32.84,252.83,1,0,0
101286,87,32.84,304.88,1,0,0
101986,87,32.84,234.46,0,1,0
102686,87,32.84,162.12,0,1,0
110286,87,32.84,139.35,0,1,0
110986,87,32.84,222.79,1,0,0
111686,87,32.84,337.26,1,0,0
112386,87,32.84,326.06,0,1,0
113086,87,32.84,356.72,0,1,0
120786,87,32.84,304.49,0,0,0
121486,87,32.84,132.24,1,0,0
122186,87,32.84,118.64,1,1,1
122886,87,32.84,216.35,0,0,0
10487,87,32.84,176.16,0,1,0
11187,87,32.84,276.54,0,0,0
11887,87,32.84,162.13,1,0,0
12587,87,32.84,131.85,1,0,0
20187,87,32.84,108.06,0,1,0
20887,87,32.84,108.85,0,1,0
21587,87,32.84,259.89,0,0,0
22287,87,32.84,165.15,1,0,0
30187,87,32.84,115.37,1,0,0
30887,87,32.84,199.5,0,1,0
31587,87,32.84,105.06,0,1,0
32287,87,32.84,383.97,0,0,0
32987,87,32.84,218.56,1,0,0
40587,87,32.84,150.9,1,0,0
41287,87,32.84,449.06,0,1,0
41987,87,32.84,201.7,0,1,0
42687,87,32.84,448.83,0,0,0
50387,87,32.84,242.89,1,0,0
51087,87,32.84,287.09,1,0,0
51787,87,32.84,308.66,0,1,0
52487,87,32.84,210.85,0,1,0
53187,87,32.84,217.23,0,0,0
60787,87,32.84,206.47,1,0,0
61487,87,32.84,203.77,1,0,0
62187,87,32.84,112.51,0,1,0
