Year,Month,Time,Sales,logSales,c348,s348,c432,s432
1992,1,1,27306,10.214861737,-0.577572703,0.8163392507,-0.910105971,0.414375581
1992,2,2,26223,10.174392167,-0.332819545,-0.942990536,0.6565857558,-0.754251381
1992,3,3,27235,10.21225819,0.9620276716,0.2729519355,-0.285019262,0.958521789
1992,4,4,27588,10.225136175,-0.778462302,0.6276913613,-0.137790291,-0.990461426
1992,5,5,28883,10.271008466,-0.06279052,-0.998026728,0.535826795,0.8443279255
1992,6,6,28039,10.241351677,0.8509944818,0.52517463,-0.83752804,-0.546394347
1992,7,7,29479,10.291433424,-0.920231847,0.3913736668,0.9886517447,0.1502255891
1992,8,8,28645,10.262734187,0.2120071099,-0.977268124,-0.962027672,0.2729519355
1992,9,9,27475,10.221031779,0.6753328081,0.7375131174,0.762442511,-0.647055962
1992,10,10,28583,10.260567414,-0.992114701,0.1253332336,-0.425779292,0.9048270525
1992,11,11,27620,10.226295427,0.4707039322,-0.882291226,0.0125660399,-0.999921044
1992,12,12,30294,10.318704952,0.4483832161,0.8938414242,0.4029064357,0.9152411726
1993,1,13,27571,10.224519775,-0.988651745,-0.150225589,-0.745941145,-0.666011867
1993,2,14,25748,10.156112233,0.6936533058,-0.720309025,0.9548645447,0.2970415816
1993,3,15,27911,10.236776155,0.1873813146,0.9822872507,-0.992114701,0.1253332336
1993,4,16,28112,10.24395181,-0.910105971,-0.414375581,0.8509944818,-0.52517463
1993,5,17,29096,10.278355987,0.8639234172,-0.503623202,-0.556875616,0.8305958992
1993,6,18,28576,10.260322484,-0.087851197,0.9961336091,0.1626371652,-0.986685944
1993,7,19,30067,10.311183504,-0.762442511,-0.647055962,0.2608415063,0.9653816388
1993,8,20,28470,10.25660618,0.9685831611,-0.248689887,-0.63742399,-0.770513243
1993,9,21,28022,10.240745195,-0.356411879,0.9343289425,0.8994052516,0.4371157667
1993,10,22,28532,10.258781543,-0.556875616,-0.830595899,-0.999684189,-0.025130095
1993,11,23,28081,10.24284847,0.9996841893,0.0251300954,0.9202318474,-0.391373667
1993,12,24,31132,10.345991508,-0.597904983,0.8015669849,-0.675332808,0.7375131174
1994,1,25,27889,10.235987625,-0.309016994,-0.951056516,0.3090169944,-0.951056516
1994,2,26,26175,10.172560036,0.9548645447,0.2970415816,0.1128563849,0.9936113105
1994,3,27,29261,10.28401085,-0.793990399,0.6079302977,-0.514439534,-0.857526656
1994,4,28,28529,10.258676393,-0.037690183,-0.999289473,0.8235325976,0.5672689491
1994,5,29,29402,10.288817978,0.83752804,0.5463943467,-0.984564335,-0.175023059
1994,6,30,29721,10.299609146,-0.929776486,0.3681245527,0.9685831611,-0.248689887
1994,7,31,30344,10.320354083,0.236498997,-0.971631733,-0.778462302,0.6276913613
1994,8,32,29792,10.30199518,0.6565857558,0.7542513807,0.4483832161,-0.893841424
1994,9,33,29102,10.278562179,-0.994951017,0.1003617149,-0.037690183,0.9992894726
1994,10,34,29079,10.277771543,0.4927273415,-0.870183755,-0.379779096,-0.925077207
1994,11,35,29077,10.277702763,0.4257792916,0.9048270525,0.7289686274,0.6845471059
1994,12,36,32152,10.378229936,-0.984564335,-0.175023059,-0.947098305,-0.32094361
1995,1,37,28629,10.262175469,0.7115356772,-0.70264997,0.994951017,-0.100361715
1995,2,38,26762,10.19473825,0.1626371652,0.9866859442,-0.863923417,0.5036232016
1995,3,39,29708,10.299171649,-0.899405252,-0.437115767,0.5775727034,-0.816339251
1995,4,40,29086,10.278012238,0.87630668,-0.481753674,-0.187381315,0.9822872507
1995,5,41,30388,10.321803073,-0.112856385,0.9936113105,-0.236498997,-0.971631733
1995,6,42,30229,10.316557008,-0.745941145,-0.666011867,0.6178596131,0.7862884321
1995,7,43,30654,10.330518439,0.9745268728,-0.224270761,-0.888136449,-0.459579861
1995,8,44,30434,10.323315683,-0.379779096,0.9250772068,0.9987369566,0.0502443182
1995,9,45,29378,10.288001374,-0.535826795,-0.844327926,-0.929776486,0.3681245527
1995,10,46,29068,10.277393192,0.9987369566,0.0502443182,0.6936533058,-0.720309025
1995,11,47,29619,10.296171326,-0.617859613,0.7862884321,-0.332819545,0.9429905359
1995,12,48,32454,10.387578981,-0.285019262,-0.958521789,-0.087851197,-0.996133609
1996,1,49,29172,10.280964624,0.947098305,0.3209436098,0.4927273415,0.8701837547
1996,2,50,28191,10.246758057,-0.809016994,0.5877852523,-0.809016994,-0.587785252
1996,3,51,30245,10.317086161,-0.01256604,-0.999921044,0.9798550524,0.1997099805
1996,4,52,29344,10.286843375,0.8235325976,0.5672689491,-0.974526873,0.2242707609
1996,5,53,31364,10.353416017,-0.938733858,0.3446429232,0.7939903986,-0.607930298
1996,6,54,30470,10.324497872,0.2608415063,-0.965381639,-0.470703932,0.8822912264
1996,7,55,31377,10.353830419,0.6374239897,0.7705132428,0.0627905195,-0.998026728
1996,8,56,31747,10.365553512,-0.9971589,0.0753268055,0.3564118787,0.9343289425
1996,9,57,29495,10.291976036,0.5144395338,-0.857526656,-0.711535677,-0.70264997
1996,10,58,30674,10.331170669,0.4029064357,0.9152411726,0.9387338577,0.3446429232
1996,11,59,31014,10.342193994,-0.979855052,-0.199709981,-0.9971589,0.0753268055
1996,12,60,32454,10.387578981,0.7289686274,-0.684547106,0.87630668,-0.481753674
1997,1,61,30534,10.326596096,0.1377902907,0.9904614257,-0.597904983,0.8015669849
1997,2,62,27985,10.239423931,-0.888136449,-0.459579861,0.2120071099,-0.977268124
1997,3,63,31513,10.358155438,0.8881364488,-0.459579861,0.2120071099,0.9772681236
1997,4,64,29853,10.304040616,-0.137790291,0.9904614257,-0.597904983,-0.801566985
1997,5,65,32412,10.386284004,-0.728968627,-0.684547106,0.87630668,0.4817536741
1997,6,66,30527,10.326366817,0.9798550524,-0.199709981,-0.9971589,-0.075326806
1997,7,67,32232,10.380715027,-0.402906436,0.9152411726,0.9387338577,-0.344642923
1997,8,68,32032,10.374490682,-0.514439534,-0.857526656,-0.711535677,0.7026499698
1997,9,69,30142,10.313674827,0.9971589003,0.0753268055,0.3564118787,-0.934328942
1997,10,70,31319,10.351980221,-0.63742399,0.7705132428,0.0627905195,0.9980267284
