year,sales,advrtsng,advcopy,Ind1,Ind2,Ind3,lagsales,lag2sales,lagadv
1907,1016,608,1,1,0,0,,,
1908,921,451,1,1,0,0,1016,,608
1909,934,529,1,1,0,0,921,1016,451
1910,976,543,1,1,0,0,934,921,529
1911,930,525,1,1,0,0,976,934,543
1912,1052,549,1,1,0,0,930,976,525
1913,1184,525,1,1,0,0,1052,930,549
1914,1089,578,1,1,0,0,1184,1052,525
1915,1087,609,2,0,1,0,1089,1184,578
1916,1154,504,2,0,1,0,1087,1089,609
1917,1330,752,2,0,1,0,1154,1087,504
1918,1980,613,2,0,1,0,1330,1154,752
1919,2223,862,2,0,1,0,1980,1330,613
1920,2203,866,2,0,1,0,2223,1980,862
1921,2514,1016,2,0,1,0,2203,2223,866
1922,2726,1360,2,0,1,0,2514,2203,1016
1923,3185,1482,2,0,1,0,2726,2514,1360
1924,3351,1608,2,0,1,0,3185,2726,1482
1925,3438,1800,2,0,1,0,3351,3185,1608
1926,2917,1941,3,0,0,1,3438,3351,1800
1927,2359,1229,3,0,0,1,2917,3438,1941
1928,2240,1373,3,0,0,1,2359,2917,1229
1929,2196,1611,3,0,0,1,2240,2359,1373
1930,2111,1568,3,0,0,1,2196,2240,1611
1931,1806,983,3,0,0,1,2111,2196,1568
1932,1644,1046,3,0,0,1,1806,2111,983
1933,1814,1453,3,0,0,1,1644,1806,1046
1934,1770,1504,3,0,0,1,1814,1644,1453
1935,1518,807,3,0,0,1,1770,1814,1504
1936,1103,339,3,0,0,1,1518,1770,807
1937,1266,562,3,0,0,1,1103,1518,339
1938,1473,745,3,0,0,1,1266,1103,562
1939,1423,749,3,0,0,1,1473,1266,745
1940,1767,862,3,0,0,1,1423,1473,749
1941,2161,1034,4,0,0,0,1767,1423,862
1942,2336,1054,4,0,0,0,2161,1767,1034
1943,2602,1164,4,0,0,0,2336,2161,1054
1944,2518,1102,4,0,0,0,2602,2336,1164
1945,2637,1145,4,0,0,0,2518,2602,1102
1946,2177,1012,4,0,0,0,2637,2518,1145
1947,1920,836,4,0,0,0,2177,2637,1012
1948,1910,941,4,0,0,0,1920,2177,836
1949,1984,981,4,0,0,0,1910,1920,941
1950,1787,974,4,0,0,0,1984,1910,981
1951,1689,766,4,0,0,0,1787,1984,974
1952,1866,920,4,0,0,0,1689,1787,766
1953,1896,964,4,0,0,0,1866,1689,920
1954,1684,811,4,0,0,0,1896,1866,964
1955,1633,789,4,0,0,0,1684,1896,811
1956,1657,802,4,0,0,0,1633,1684,789
1957,1569,770,4,0,0,0,1657,1633,802
1958,1390,639,4,0,0,0,1569,1657,770
1959,1387,644,4,0,0,0,1390,1569,639
1960,1289,564,4,0,0,0,1387,1390,644
