lynx,lnmink,lnmuskrat,mink,muskrat
269,,,,
321,,,,
585,,,,
871,,,,
1475,,,,
2821,,,,
3928,,,,
5943,,,,
4950,,,,
2577,,,,
523,,,,
98,,,,
184,,,,
279,,,,
409,,,,
2285,,,,
2685,,,,
3409,,,,
1824,,,,
409,,,,
151,,,,
45,,,,
68,,,,
213,,,,
546,,,,
1033,,,,
2129,,,,
2536,,,,
957,,,,
361,10.2962,12.0752,29619.85,175465.9
377,9.9594,12.1791,21150.1,194677.6
225,10.121,12.5863,24859.62,292523.4
360,10.1327,13.1102,25152.18,493955.1
731,10.6543,13.1466,42374.41,512266.4
1638,10.8364,12.7531,50838.03,345621.7
2725,11.0281,12.4638,61580.47,258797.2
2871,11.0341,12.6191,61951.06,302277.3
2119,11.2415,12.6556,76229.21,313514.2
684,11.0551,12.4461,63265.79,254256.8
299,10.7084,12.0855,44730.01,177282.5
236,10.3448,12.2357,31094.93,206014.1
245,10.8088,12.723,49454.09,335373.5
552,10.6911,12.7857,43962.84,357074.6
1623,11.0305,13.1417,61728.44,509762.4
3311,11.0077,12.9441,60336.95,418361
6721,10.8475,12.6786,51405.48,320808.6
4254,10.9759,12.9292,58448.42,412173.6
687,11.2061,13.3344,73577.9,618096.6
255,11.2164,12.9096,74339.67,404173.7
473,10.2295,12.3556,27708.65,232257
358,10.373,13.0036,31984.29,444009
784,10.5781,13.4657,39265.44,704821.6
1594,10.7086,13.5514,44738.96,767888.6
1676,11.0092,13.418,60427.53,671990.8
2251,11.1882,13.1689,72272.57,523818.2
1426,11.2799,13.2765,79213.34,583325.1
756,11.278,12.988,79062.98,437136.2
299,11.3415,13.094,84246.31,486017.5
201,11.0444,13.1218,62592.45,499718.4
229,10.4652,13.0775,35073.46,478064.1
469,10.4957,13.628,36159.68,829020.4
736,10.7277,13.8444,45601.69,1029311
2042,10.7687,13.8824,47510.21,1069177
2811,10.8646,13.8953,52292.07,1083059
4431,11.4167,13.6134,90825.92,817004.6
2511,11.2451,12.7572,76504.13,347041.6
389,11.0714,12.8483,64305.47,380141.9
73,11.3269,12.7509,83025.25,344862.1
39,10.6152,12.3177,40749.55,223619.2
49,10.48,12.6828,35596.41,322158.8
59,10.2914,13.2617,29478.01,574755.5
188,10.6517,13.6,42264.38,806129.8
377,10.9711,13.7479,58168.54,934624.4
1292,10.8359,13.3827,50812.62,648683.4
4031,10.8452,13.4222,51287.38,674819.1
3495,11.1595,13.6087,70227.83,813173.7
587,11.2433,13.2208,76366.55,551722.2
105,11.162,13.2515,70403.62,568922.8
153,10.6416,13.461,41839.66,701516.7
387,10.7359,13.5512,45977.16,767735.1
758,10.7751,13.741,47815.25,928197.7
1307,10.9616,14.3164,57618.56,1650188
3465,11.1057,14.2131,66549.41,1488233
6991,10.9091,13.7369,54671.62,924399.9
6313,10.933,13.8702,55994.01,1056213
3794,11.003,13.4518,60054.03,695092.4
1836,10.5756,12.9177,39167.4,407460.8
345,9.9774,12.5151,21534.25,272419.9
382,9.7902,12.6188,17857.88,302186.6
808,9.9891,13.5267,21787.68,749154.1
1388,10.4045,13.7784,33007.83,963569.6
2713,,,,
3800,,,,
3091,,,,
2985,,,,
3790,,,,
674,,,,
81,,,,
80,,,,
108,,,,
229,,,,
399,,,,
1132,,,,
2432,,,,
3574,,,,
2935,,,,
1537,,,,
529,,,,
485,,,,
662,,,,
1000,,,,
1590,,,,
2657,,,,
3396,,,,
