year,month,employment,time
1971,1,707,1
1971,2,655,2
1971,3,638,3
1971,4,574,4
1971,5,552,5
1971,6,980,6
1971,7,926,7
1971,8,680,8
1971,9,597,9
1971,10,637,10
1971,11,660,11
1971,12,704,12
1972,1,758,13
1972,2,835,14
1972,3,747,15
1972,4,617,16
1972,5,554,17
1972,6,929,18
1972,7,815,19
1972,8,702,20
1972,9,640,21
1972,10,588,22
1972,11,669,23
1972,12,675,24
1973,1,610,25
1973,2,651,26
1973,3,605,27
1973,4,592,28
1973,5,527,29
1973,6,898,30
1973,7,839,31
1973,8,614,32
1973,9,594,33
1973,10,576,34
1973,11,672,35
1973,12,651,36
1974,1,714,37
1974,2,715,38
1974,3,672,39
1974,4,588,40
1974,5,567,41
1974,6,1057,42
1974,7,949,43
1974,8,683,44
1974,9,771,45
1974,10,708,46
1974,11,824,47
1974,12,835,48
1975,1,980,49
1975,2,969,50
1975,3,931,51
1975,4,892,52
1975,5,828,53
1975,6,1350,54
1975,7,1218,55
1975,8,977,56
1975,9,863,57
1975,10,838,58
1975,11,866,59
1975,12,877,60
1976,1,1007,61
1976,2,951,62
1976,3,906,63
1976,4,911,64
1976,5,812,65
1976,6,1172,66
1976,7,1101,67
1976,8,900,68
1976,9,841,69
1976,10,853,70
1976,11,922,71
1976,12,886,72
1977,1,896,73
1977,2,936,74
1977,3,902,75
1977,4,765,76
1977,5,735,77
1977,6,1234,78
1977,7,1052,79
1977,8,868,80
1977,9,798,81
1977,10,751,82
1977,11,820,83
1977,12,725,84
1978,1,821,85
1978,2,895,86
1978,3,851,87
1978,4,734,88
1978,5,636,89
1978,6,994,90
1978,7,990,91
1978,8,750,92
1978,9,727,93
1978,10,754,94
1978,11,792,95
1978,12,817,96
1979,1,856,97
1979,2,886,98
1979,3,833,99
1979,4,733,100
1979,5,675,101
1979,6,1004,102
1979,7,956,103
1979,8,777,104
1979,9,761,105
1979,10,709,106
1979,11,777,107
1979,12,771,108
1980,1,840,109
1980,2,847,110
1980,3,774,111
1980,4,720,112
1980,5,848,113
1980,6,1240,114
1980,7,1168,115
1980,8,936,116
1980,9,853,117
1980,10,910,118
1980,11,953,119
1980,12,874,120
1981,1,1026,121
1981,2,1030,122
1981,3,946,123
1981,4,860,124
1981,5,856,125
1981,6,1190,126
1981,7,1038,127
1981,8,883,128
1981,9,843,129
1981,10,857,130
1981,11,1016,131
1981,12,1003,132
