gasdemand,loggasdemand,year,month,obs61,obs125,obs177,c348,s348
87695,11.381620164,1960,1,0,0,0,-0.577572703,0.8163392507
86890,11.37239823,1960,2,0,0,0,-0.332819545,-0.942990536
96442,11.47669707,1960,3,0,0,0,0.9620276716,0.2729519355
98133,11.49407898,1960,4,0,0,0,-0.778462302,0.6276913613
113615,11.640570819,1960,5,0,0,0,-0.06279052,-0.998026728
123924,11.727423753,1960,6,0,0,0,0.8509944818,0.52517463
128924,11.766978362,1960,7,0,0,0,-0.920231847,0.3913736668
134775,11.811362,1960,8,0,0,0,0.2120071099,-0.977268124
117357,11.67297585,1960,9,0,0,0,0.6753328081,0.7375131174
114626,11.649429934,1960,10,0,0,0,-0.992114701,0.1253332336
107677,11.586891284,1960,11,0,0,0,0.4707039322,-0.882291226
108087,11.590691737,1960,12,0,0,0,0.4483832161,0.8938414242
92188,11.431585249,1961,1,0,0,0,-0.988651745,-0.150225589
88591,11.391785551,1961,2,0,0,0,0.6936533058,-0.720309025
98683,11.499667971,1961,3,0,0,0,0.1873813146,0.9822872507
99207,11.504963855,1961,4,0,0,0,-0.910105971,-0.414375581
125485,11.739941508,1961,5,0,0,0,0.8639234172,-0.503623202
124677,11.733481672,1961,6,0,0,0,-0.087851197,0.9961336091
132543,11.7946624,1961,7,0,0,0,-0.762442511,-0.647055962
140735,11.854633968,1961,8,0,0,0,0.9685831611,-0.248689887
124008,11.728101359,1961,9,0,0,0,-0.356411879,0.9343289425
121194,11.705147846,1961,10,0,0,0,-0.556875616,-0.830595899
111634,11.622980942,1961,11,0,0,0,0.9996841893,0.0251300954
111565,11.62236266,1961,12,0,0,0,-0.597904983,0.8015669849
101007,11.5229451,1962,1,0,0,0,-0.309016994,-0.951056516
94228,11.453472656,1962,2,0,0,0,0.9548645447,0.2970415816
104255,11.5545951,1962,3,0,0,0,-0.793990399,0.6079302977
106922,11.579854876,1962,4,0,0,0,-0.037690183,-0.999289473
130621,11.780055279,1962,5,0,0,0,0.83752804,0.5463943467
125251,11.738075003,1962,6,0,0,0,-0.929776486,0.3681245527
140318,11.851666554,1962,7,0,0,0,0.236498997,-0.971631733
146174,11.892552972,1962,8,0,0,0,0.6565857558,0.7542513807
122318,11.71437949,1962,9,0,0,0,-0.994951017,0.1003617149
128770,11.765783146,1962,10,0,0,0,0.4927273415,-0.870183755
117518,11.674346792,1962,11,0,0,0,0.4257792916,0.9048270525
115492,11.656956542,1962,12,0,0,0,-0.984564335,-0.175023059
108497,11.594477802,1963,1,0,0,0,0.7115356772,-0.70264997
100482,11.517733886,1963,2,0,0,0,0.1626371652,0.9866859442
106140,11.572514256,1963,3,0,0,0,-0.899405252,-0.437115767
118581,11.68335155,1963,4,0,0,0,0.87630668,-0.481753674
132371,11.793363865,1963,5,0,0,0,-0.112856385,0.9936113105
132042,11.790875333,1963,6,0,0,0,-0.745941145,-0.666011867
151938,11.931227822,1963,7,0,0,0,0.9745268728,-0.224270761
150997,11.925015248,1963,8,0,0,0,-0.379779096,0.9250772068
130931,11.782425746,1963,9,0,0,0,-0.535826795,-0.844327926
137018,11.827867583,1963,10,0,0,0,0.9987369566,0.0502443182
121271,11.70578299,1963,11,0,0,0,-0.617859613,0.7862884321
123548,11.724385024,1963,12,0,0,0,-0.285019262,-0.958521789
109894,11.607271544,1964,1,0,0,0,0.947098305,0.3209436098
106061,11.571769679,1964,2,0,0,0,-0.809016994,0.5877852523
112539,11.631055107,1964,3,0,0,0,-0.01256604,-0.999921044
125745,11.742011326,1964,4,0,0,0,0.8235325976,0.5672689491
136251,11.822254052,1964,5,0,0,0,-0.938733858,0.3446429232
140892,11.855748918,1964,6,0,0,0,0.2608415063,-0.965381639
158390,11.972815625,1964,7,0,0,0,0.6374239897,0.7705132428
148314,11.907086927,1964,8,0,0,0,-0.9971589,0.0753268055
144148,11.878595829,1964,9,0,0,0,0.5144395338,-0.857526656
140138,11.85038293,1964,10,0,0,0,0.4029064357,0.9152411726
124075,11.7286415,1964,11,0,0,0,-0.979855052,-0.199709981
136485,11.823969997,1964,12,0,0,0,0.7289686274,-0.684547106
109895,11.607280643,1965,1,1,0,0,0.1377902907,0.9904614257
109044,11.599506749,1965,2,0,0,0,-0.888136449,-0.459579861
122499,11.715858146,1965,3,0,0,0,0.8881364488,-0.459579861
124264,11.730163614,1965,4,0,0,0,-0.137790291,0.9904614257
142296,11.865664674,1965,5,0,0,0,-0.728968627,-0.684547106
150693,11.922999934,1965,6,0,0,0,0.9798550524,-0.199709981
163331,12.003534096,1965,7,0,0,0,-0.402906436,0.9152411726
165837,12.018760657,1965,8,0,0,0,-0.514439534,-0.857526656
151731,11.929864495,1965,9,0,0,0,0.9971589003,0.0753268055
142491,11.867034119,1965,10,0,0,0,-0.63742399,0.7705132428
140229,11.85103208,1965,11,0,0,0,-0.260841506,-0.965381639
140463,11.852699388,1965,12,0,0,0,0.9387338577,0.3446429232
116963,11.669612924,1966,1,0,0,0,-0.823532598,0.5672689491
118049,11.678855071,1966,2,0,0,0,0.0125660399,-0.999921044
137869,11.834059238,1966,3,0,0,0,0.8090169944,0.5877852523
