Date,Year,Weekday,Travelers,logTravelers,Time
3/1/2019,2019,6,1861286,14.436778205,1
3/2/2019,2019,7,2015079,14.516168959,2
3/3/2019,2019,1,2307393,14.651628874,3
3/4/2019,2019,2,2257920,14.629954593,4
3/5/2019,2019,3,1979558,14.498384145,5
3/6/2019,2019,4,2143619,14.57800608,6
3/7/2019,2019,5,2402692,14.692100333,7
3/8/2019,2019,6,2543689,14.749125948,8
3/9/2019,2019,7,2156262,14.583886725,9
3/10/2019,2019,1,2485430,14.725956241,10
3/11/2019,2019,2,2378673,14.682053327,11
3/12/2019,2019,3,2122898,14.568292694,12
3/13/2019,2019,4,2187298,14.59817755,13
3/14/2019,2019,5,2503924,14.733369659,14
3/15/2019,2019,6,2634215,14.784095783,15
3/16/2019,2019,7,2274658,14.637340269,16
3/17/2019,2019,1,2545742,14.749932718,17
3/18/2019,2019,2,2465709,14.717989951,18
3/19/2019,2019,3,2177929,14.593884983,19
3/20/2019,2019,4,2320885,14.657459136,20
3/21/2019,2019,5,2513231,14.737079734,21
3/22/2019,2019,6,2559307,14.755247077,22
3/23/2019,2019,7,2227181,14.616247218,23
3/24/2019,2019,1,2542643,14.748714649,24
3/25/2019,2019,2,2434370,14.705198554,25
3/26/2019,2019,3,2151913,14.581867772,26
3/27/2019,2019,4,2273811,14.636967836,27
3/28/2019,2019,5,2487162,14.726652859,28
3/29/2019,2019,6,2538384,14.747038216,29
3/30/2019,2019,7,2172920,14.591582443,30
3/31/2019,2019,1,2510294,14.735910436,31
4/1/2019,2019,2,2360053,14.674194634,32
4/2/2019,2019,3,2026256,14.521700313,33
4/3/2019,2019,4,2151626,14.581734393,34
4/4/2019,2019,5,2411500,14.695759518,35
4/5/2019,2019,6,2476884,14.722511877,36
4/6/2019,2019,7,2011715,14.51449815,37
4/7/2019,2019,1,2462929,14.71686185,38
4/8/2019,2019,2,2384091,14.684328478,39
4/9/2019,2019,3,2091056,14.553179759,40
4/10/2019,2019,4,2229276,14.617187427,41
4/11/2019,2019,5,2487398,14.726747742,42
4/12/2019,2019,6,2590499,14.767361079,43
4/13/2019,2019,7,2059142,14.537799949,44
4/14/2019,2019,1,2446801,14.710292015,45
4/15/2019,2019,2,2484580,14.725614189,46
4/16/2019,2019,3,2208688,14.607909232,47
4/17/2019,2019,4,2317381,14.655948227,48
4/18/2019,2019,5,2616158,14.777217387,49
4/19/2019,2019,6,2457133,14.714505781,50
4/20/2019,2019,7,1988205,14.50274278,51
4/21/2019,2019,1,2356802,14.672816173,52
4/22/2019,2019,2,2594171,14.768777563,53
4/23/2019,2019,3,2227475,14.616379215,54
4/24/2019,2019,4,2254209,14.628309693,55
4/25/2019,2019,5,2526961,14.742527953,56
4/26/2019,2019,6,2521897,14.740521954,57
4/27/2019,2019,7,1990464,14.503878335,58
4/28/2019,2019,1,2506809,14.734521188,59
4/29/2019,2019,2,2412770,14.696286023,60
4/30/2019,2019,3,2102068,14.55843218,61
5/1/2019,2019,4,2256442,14.629299794,62
5/2/2019,2019,5,2499461,14.731585667,63
5/3/2019,2019,6,2546029,14.750045448,64
5/4/2019,2019,7,1968278,14.492669607,65
5/5/2019,2019,1,2512598,14.736827836,66
5/6/2019,2019,2,2470969,14.720120939,67
5/7/2019,2019,3,2106597,14.560584407,68
5/8/2019,2019,4,2270662,14.635581977,69
5/9/2019,2019,5,2555342,14.753696628,70
5/10/2019,2019,6,2602631,14.772033414,71
5/11/2019,2019,7,1985942,14.501603919,72
5/12/2019,2019,1,2419114,14.698911915,73
5/13/2019,2019,2,2512315,14.736715197,74
5/14/2019,2019,3,2191387,14.600045235,75
5/15/2019,2019,4,2343675,14.667230768,76
5/16/2019,2019,5,2611324,14.77536793,77
5/17/2019,2019,6,2664549,14.79554537,78
