Year,Month,employees,logemp,dlogemp
1991,1,107426,11.584557517,-0.023459922
1991,2,107394,11.584259594,-0.000297924
1991,3,107683,11.586947005,0.0026874112
1991,4,108072,11.590552951,0.0036059458
1991,5,108754,11.59684373,0.0062907792
1991,6,109235,11.601256804,0.0044130739
1991,7,108033,11.590192015,-0.011064789
1991,8,108125,11.591043244,0.0008512292
1991,9,108842,11.597652568,0.0066093241
1991,10,109212,11.601046226,0.003393658
1991,11,109229,11.601201875,0.0001556484
1991,12,109113,11.600139321,-0.001062553
1992,1,106726,11.578020081,-0.02211924
1992,2,106979,11.580387832,0.002367751
1992,3,107498,11.585227522,0.0048396892
1992,4,108333,11.592965096,0.007737574
1992,5,109140,11.600386741,0.007421645
1992,6,109629,11.604857217,0.0044704763
1992,7,108611,11.59552797,-0.009329247
1992,8,108667,11.596043439,0.0005154687
1992,9,109452,11.603241376,0.0071979368
1992,10,110039,11.608590127,0.0053487514
1992,11,110280,11.610777865,0.0021877377
1992,12,110269,11.610678114,-0.000099751
1993,1,108103,11.590839755,-0.019838359
1993,2,108706,11.596402269,0.0055625141
1993,3,109140,11.600386741,0.0039844714
1993,4,110144,11.60954388,0.0091571388
1993,5,111107,11.61824898,0.0087051004
1993,6,111698,11.62355408,0.0053050999
1993,7,110829,11.615743752,-0.007810328
1993,8,110940,11.616744794,0.0010010417
1993,9,111929,11.625620021,0.0088752271
1993,10,112596,11.63156147,0.0059414494
1993,11,112939,11.634603129,0.0030416589
1993,12,113089,11.635930398,0.0013272694
1994,1,110839,11.615833977,-0.020096421
1994,2,111419,11.621053148,0.0052191716
1994,3,112394,11.629765834,0.0087126857
1994,4,113474,11.639329015,0.0095631805
1994,5,114486,11.648207824,0.008878809
1994,6,115276,11.655084532,0.0068767082
1994,7,114331,11.646853029,-0.008231503
1994,8,114639,11.64954334,0.0026903104
1994,9,115699,11.65874727,0.0092039306
1994,10,116324,11.66413468,0.00538741
1994,11,116932,11.669347848,0.0052131682
1994,12,116970,11.669672771,0.0003249224
1995,1,114662,11.649743949,-0.019928821
1995,2,115320,11.655466152,0.0057222026
1995,3,116076,11.662000428,0.0065342762
1995,4,116909,11.669151133,0.0071507054
1995,5,117632,11.675316386,0.0061652529
1995,6,118348,11.681384716,0.0060683295
1995,7,117113,11.67089456,-0.010490156
1995,8,117377,11.673146256,0.0022516961
1995,9,118292,11.680911423,0.0077651672
1995,10,118893,11.685979208,0.0050677849
1995,11,119132,11.687987401,0.0020081931
1995,12,119130,11.687970613,-1.678824e-5
1996,1,116431,11.665054102,-0.022916511
1996,2,117370,11.673086617,0.0080325152
1996,3,118175,11.679921856,0.0068352386
1996,4,119013,11.68698801,0.0070661542
1996,5,120140,11.696413008,0.0094249986
1996,6,120804,11.701924677,0.0055116681
1996,7,119767,11.693303468,-0.008621209
1996,8,120059,11.695738568,0.0024351
1996,9,120804,11.701924677,0.0061861089
1996,10,121524,11.707867053,0.0059423766
1996,11,121984,11.711645168,0.0037781145
1996,12,121963,11.711472999,-0.000172169
1997,1,119421,11.690410344,-0.021062655
1997,2,120282,11.697594265,0.007183921
1997,3,121165,11.704908532,0.0073142672
1997,4,122140,11.712923207,0.0080146747
1997,5,123221,11.72173477,0.0088115633
1997,6,123870,11.726987908,0.0052531374
1997,7,122886,11.719012375,-0.007975532
1997,8,122954,11.719565581,0.0005532054
1997,9,123958,11.727698078,0.0081324969
1997,10,124861,11.734956398,0.00725832
1997,11,125255,11.738106938,0.0031505408
1997,12,125393,11.739208084,0.0011011459
1998,1,122842,11.718654256,-0.020553828
1998,2,123618,11.724951444,0.0062971887
1998,3,124341,11.73078307,0.0058316258
1998,4,125382,11.739120356,0.008337286
1998,5,126466,11.747728776,0.0086084201
1998,6,127129,11.752957598,0.0052288216
1998,7,126057,11.744489465,-0.008468133
1998,8,126299,11.746407391,0.0019179261
1998,9,127108,11.752792398,0.0063850071
1998,10,127887,11.75890234,0.0061099427
1998,11,128290,11.762048605,0.0031462648
1998,12,128459,11.763365066,0.001316461
1999,1,125708,11.741717036,-0.02164803
1999,2,126696,11.749545795,0.007828759
1999,3,127409,11.755157663,0.0056118681
1999,4,128555,11.764112107,0.008954444
1999,5,129423,11.770841389,0.0067292814
1999,6,130150,11.77644291,0.0056015217
1999,7,129280,11.769735874,-0.006707037
1999,8,129336,11.770168948,0.0004330745
1999,9,130114,11.776166268,0.00599732
1999,10,131049,11.783326578,0.0071603098
1999,11,131510,11.786838173,0.0035115953
1999,12,131646,11.787871781,0.0010336075
2000,1,129005,11.767606442,-0.020265339
2000,2,129667,11.772724905,0.0051184623
2000,3,130764,11.781149451,0.0084245461
2000,4,131762,11.788752544,0.0076030931
2000,5,132718,11.795981855,0.0072293116
2000,6,133230,11.799832237,0.0038503815
2000,7,132011,11.790640531,-0.009191706
2000,8,132023,11.790731429,0.0000908974
2000,9,132690,11.79577086,0.0050394307
2000,10,133249,11.799974837,0.0042039778
2000,11,133614,11.802710325,0.0027354877
2000,12,133555,11.802268657,-0.000441668
2001,1,130681,11.780514518,-0.021754139
2001,2,131348,11.785605569,0.0050910505
2001,3,131942,11.790117711,0.0045121426
2001,4,132349,11.793197652,0.0030799408
2001,5,133056,11.798525371,0.0053277193
2001,6,133435,11.801369747,0.0028443756
2001,7,131946,11.790148027,-0.01122172
2001,8,131876,11.789617366,-0.000530661
2001,9,132142,11.791632381,0.0020150148
2001,10,132344,11.793159872,0.0015274914
2001,11,132155,11.791730755,-0.001429117
2001,12,131773,11.788836024,-0.002894731
2002,1,128890,11.766714606,-0.022121418
2002,2,129362,11.770369955,0.0036553485
2002,3,129969,11.775051239,0.0046812846
2002,4,130558,11.779572851,0.004521612
2002,5,131329,11.785460904,0.0058880527
2002,6,131711,11.788365407,0.0029045033
2002,7,130270,11.777364499,-0.011000909
2002,8,130356,11.778024448,0.0006599495
2002,9,130875,11.781997948,0.0039735
2002,10,131546,11.787111879,0.0051139311
2002,11,131667,11.788031287,0.0009194075
2002,12,131259,11.78492775,-0.003103537
2003,1,128577,11.764283226,-0.020644524
2003,2,128994,11.767521171,0.003237945
2003,3,129490,11.771358937,0.0038377664
2003,4,130148,11.776427543,0.0050686064
2003,5,130909,11.782257704,0.0058301609
2003,6,131239,11.784775367,0.0025176631
2003,7,129899,11.774512504,-0.010262863
2003,8,129953,11.774928126,0.0004156212
2003,9,130608,11.77995575,0.0050276241
2003,10,131401,11.786008995,0.0060532457
2003,11,131565,11.787256305,0.0012473097
2003,12,131385,11.785887223,-0.001369082
2004,1,128726,11.765441393,-0.02044583
2004,2,129337,11.77017668,0.0047352867
2004,3,130378,11.778193203,0.0080165225
2004,4,131494,11.786716502,0.0085232996
2004,5,132397,11.793560264,0.0068437614
2004,6,132843,11.796923259,0.0033629952
2004,7,131682,11.788145204,-0.008778055
2004,8,131702,11.788297074,0.0001518695
2004,9,132417,11.793711313,0.0054142394
2004,10,133398,11.80109242,0.0073811068
2004,11,133649,11.802972239,0.0018798195
2004,12,133418,11.801242336,-0.001729903
2005,1,130713,11.780759359,-0.020482977
2005,2,131536,11.787035857,0.0062764983
2005,3,132376,11.793401637,0.0063657798
2005,4,133589,11.802523201,0.0091215642
2005,5,134402,11.808590588,0.0060673865
2005,6,135071,11.813555845,0.0049652572
2005,7,134011,11.805677165,-0.00787868
2005,8,134261,11.807540946,0.0018637806
2005,9,134889,11.812207497,0.0046665513
2005,10,135617,11.817590015,0.0053825184
2005,11,136174,11.821688759,0.0040987434
2005,12,135973,11.820211616,-0.001477143
2006,1,133320,11.800507532,-0.019704083
2006,2,134245,11.807421768,0.0069142353
2006,3,135226,11.814702732,0.0072809641
2006,4,136140,11.821439047,0.0067363152
2006,5,136946,11.827341967,0.0059029195
2006,6,137449,11.831008218,0.0036662517
2006,7,136273,11.822415506,-0.008592713
2006,8,136479,11.823926036,0.00151053
2006,9,137149,11.828823205,0.0048971694
2006,10,137849,11.833914162,0.0050909571
2006,11,138234,11.83670318,0.0027890182
2006,12,138124,11.835907111,-0.000796069
2007,1,135334,11.815501076,-0.020406035
2007,2,136026,11.820601323,0.0051002469
2007,3,136923,11.827174003,0.0065726801
2007,4,137730,11.833050526,0.0058765229
2007,5,138673,11.839873923,0.0068233967
2007,6,139175,11.843487413,0.0036134904
2007,7,137778,11.833398973,-0.01008844
2007,8,137890,11.834211545,0.0008125717
2007,9,138455,11.838300642,0.0040890972
2007,10,139198,11.843652659,0.0053520169
2007,11,139510,11.845891562,0.0022389033
2007,12,139297,11.844363623,-0.001527939
2008,1,136268,11.822378814,-0.021984809
2008,2,136787,11.82618025,0.0038014365
2008,3,137378,11.83049153,0.0043112791
2008,4,137914,11.834385581,0.003894052
2008,5,138488,11.838538958,0.0041533768
2008,6,138682,11.839938821,0.0013998631
2008,7,137203,11.82921686,-0.010721961
2008,8,137094,11.828422101,-0.000794759
2008,9,137148,11.828815914,0.0003938128
2008,10,137442,11.830957289,0.0021413752
2008,11,136761,11.825990156,-0.004967133
2008,12,135732,11.818437632,-0.007552523
2009,1,132042,11.790875333,-0.0275623
2009,2,131808,11.789101597,-0.001773736
2009,3,131675,11.788092044,-0.001009553
2009,4,131859,11.789488449,0.0013964045
2009,5,132132,11.791556702,0.0020682531
2009,6,131950,11.790178342,-0.00137836
2009,7,130353,11.778001434,-0.012176908
2009,8,130231,11.777065076,-0.000936358
2009,9,130589,11.779810266,0.00274519
2009,10,131188,11.784386688,0.0045764223
2009,11,131236,11.784752508,0.0003658202
2009,12,130690,11.780583386,-0.004169123
2010,1,127820,11.758378303,-0.022205082
2010,2,128255,11.761775749,0.0033974454
2010,3,129089,11.768257368,0.0064816193
2010,4,130212,11.77691917,0.0086618025
2010,5,131330,11.785468519,0.0085493482
2010,6,131448,11.786366615,0.0008980966
2010,7,130111,11.776143211,-0.010223404
2010,8,130175,11.776634978,0.0004917668
2010,9,130669,11.780422687,0.0037877091
2010,10,131641,11.7878338,0.0074111124
2010,11,131947,11.790155606,0.0023218063
2010,12,131641,11.7878338,-0.002321806
2011,1,128778,11.765845271,-0.021988529
2011,2,129592,11.772146333,0.006301062
2011,3,130499,11.779120843,0.0069745103
2011,4,131715,11.788395776,0.0092749336
2011,5,132399,11.79357537,0.0051795931
2011,6,132889,11.797269472,0.0036941027
2011,7,131615,11.787636273,-0.009633199
2011,8,131890,11.789723521,0.0020872477
2011,9,132636,11.795363813,0.0056402923
2011,10,133558,11.802291119,0.0069273063
2011,11,133893,11.804796252,0.0025051331
2011,12,133718,11.803488384,-0.001307869
2012,1,131113,11.783814826,-0.019673558
2012,2,132067,11.791064649,0.0072498228
2012,3,132971,11.797886338,0.0068216898
2012,4,133854,11.804504933,0.0066185944
2012,5,134667,11.810560344,0.0060554108
2012,6,135005,11.813067094,0.0025067503
2012,7,133795,11.804064057,-0.009003037
2012,8,134175,11.806900197,0.0028361403
2012,9,134802,11.811562314,0.0046621171
2012,10,135649,11.817825946,0.006263632
2012,11,136039,11.820696888,0.0028709422
2012,12,135964,11.820145424,-0.000551465
2013,1,133081,11.798713244,-0.021432179
2013,2,134120,11.806490201,0.0077769562
2013,3,134918,11.812422465,0.0059322649
2013,4,135923,11.819843828,0.0074213624
2013,5,136816,11.826392236,0.0065484085
2013,6,137226,11.829384481,0.0029922443
2013,7,136052,11.820792445,-0.008592036
2013,8,136488,11.823991978,0.0031995331
2013,9,137096,11.828436689,0.0044447117
2013,10,138019,11.835146636,0.0067099465
2013,11,138543,11.838936026,0.0037893899
2013,12,138292,11.837122671,-0.001813355
2014,1,135488,11.816638354,-0.020484316
2014,2,136229,11.822092572,0.0054542177
2014,3,137187,11.829100238,0.0070076654
2014,4,138325,11.837361268,0.0082610302
2014,5,139237,11.843932796,0.0065715284
2014,6,139824,11.848139768,0.0042069717
2014,7,138745,11.840392995,-0.007746773
2014,8,139125,11.843128089,0.0027350937
2014,9,139812,11.848053942,0.0049258534
