Year,Month,Sales,logSales,c348,s348,c432,s432,Dynamic
1992,1,1744,7.4639366045,-0.577572703,0.8163392507,-0.910105971,0.414375581,0
1992,2,1990,7.5958899177,-0.332819545,-0.942990536,0.6565857558,-0.754251381,0
1992,3,2177,7.6857030612,0.9620276716,0.2729519355,-0.285019262,0.958521789,0
1992,4,2601,7.8636512654,-0.778462302,0.6276913613,-0.137790291,-0.990461426,0
1992,5,2171,7.6829431699,-0.06279052,-0.998026728,0.535826795,0.8443279255,0
1992,6,2207,7.6993894063,0.8509944818,0.52517463,-0.83752804,-0.546394347,0
1992,7,2251,7.7191298409,-0.920231847,0.3913736668,0.9886517447,0.1502255891,0
1992,8,2087,7.6434829071,0.2120071099,-0.977268124,-0.962027672,0.2729519355,0
1992,9,2016,7.6088706292,0.6753328081,0.7375131174,0.762442511,-0.647055962,0
1992,10,2149,7.6727578966,-0.992114701,0.1253332336,-0.425779292,0.9048270525,0
1992,11,1667,7.4187808828,0.4707039322,-0.882291226,0.0125660399,-0.999921044,0
1992,12,1583,7.3670770599,0.4483832161,0.8938414242,0.4029064357,0.9152411726,0
1993,1,2022,7.6118423996,-0.988651745,-0.150225589,-0.745941145,-0.666011867,0
1993,2,2199,7.6957579906,0.6936533058,-0.720309025,0.9548645447,0.2970415816,0
1993,3,2526,7.8343923029,0.1873813146,0.9822872507,-0.992114701,0.1253332336,0
1993,4,2564,7.849323818,-0.910105971,-0.414375581,0.8509944818,-0.52517463,0
1993,5,2309,7.7445698094,0.8639234172,-0.503623202,-0.556875616,0.8305958992,0
1993,6,2393,7.7803030879,-0.087851197,0.9961336091,0.1626371652,-0.986685944,0
1993,7,2485,7.8180279385,-0.762442511,-0.647055962,0.2608415063,0.9653816388,0
1993,8,2287,7.734996194,0.9685831611,-0.248689887,-0.63742399,-0.770513243,0
1993,9,2167,7.6810990015,-0.356411879,0.9343289425,0.8994052516,0.4371157667,0
1993,10,2339,7.7574787666,-0.556875616,-0.830595899,-0.999684189,-0.025130095,0
1993,11,2253,7.7200179404,0.9996841893,0.0251300954,0.9202318474,-0.391373667,0
1993,12,2060,7.6304612618,-0.597904983,0.8015669849,-0.675332808,0.7375131174,0
1994,1,2199,7.6957579906,-0.309016994,-0.951056516,0.3090169944,-0.951056516,0
1994,2,2432,7.7964692431,0.9548645447,0.2970415816,0.1128563849,0.9936113105,0
1994,3,2669,7.8894591494,-0.793990399,0.6079302977,-0.514439534,-0.857526656,0
1994,4,2782,7.9309253725,-0.037690183,-0.999289473,0.8235325976,0.5672689491,0
