beer,month,obs99
14.77,1,0
14.53,2,0
16.78,3,0
18.42,4,0
18.17,5,0
18.47,6,0
18.5,7,0
18.27,8,0
15.71,9,0
15.41,10,0
13.62,11,0
12.46,12,0
14.15,1,0
14.75,2,0
17.72,3,0
16.81,4,0
18.74,5,0
18.47,6,0
19.12,7,0
17.59,8,0
14.58,9,0
15.14,10,0
13.06,11,0
12.89,12,0
15.5,1,0
14.55,2,0
16.76,3,0
17.97,4,0
18.86,5,0
18.23,6,0
18.59,7,0
17.71,8,0
14.54,9,0
14.36,10,0
13.12,11,0
13.13,12,0
15.71,1,0
15.21,2,0
16.51,3,0
17.99,4,0
18.67,5,0
18.65,6,0
18.33,7,0
17.06,8,0
15.26,9,0
15.62,10,0
13.53,11,0
13.97,12,0
15.6,1,0
16.63,2,0
17.66,3,0
17.42,4,0
17.44,5,0
18.58,6,0
18.09,7,0
16.81,8,0
15.82,9,0
15.5,10,0
13.81,11,0
13.69,12,0
15.8,1,0
15.85,2,0
17.12,3,0
17.73,4,0
18.31,5,0
18.58,6,0
18.17,7,0
17.72,8,0
15.78,9,0
15.61,10,0
14.02,11,0
13.22,12,0
15.88,1,0
15.29,2,0
17.57,3,0
17.3,4,0
18.41,5,0
18.82,6,0
18.28,7,0
18.88,8,0
15.28,9,0
15.82,10,0
14.78,11,0
13.45,12,0
16.46,1,0
15.74,2,0
17.97,3,0
17.48,4,0
18.1,5,0
18.58,6,0
18.25,7,0
18.96,8,0
16.08,9,0
16.62,10,0
15.44,11,0
13.97,12,0
16.27,1,0
15.17,2,0
16.08,3,1
17.23,4,0
18.9,5,0
19.16,6,0
19.88,7,0
18.63,8,0
16.11,9,0
16.65,10,0
14.47,11,0
13.64,12,0
15.65,1,0
16.1,2,0
18.06,3,0
18,4,0
18.89,5,0
18.95,6,0
18.34,7,0
17.55,8,0
15.66,9,0
16.15,10,0
14.43,11,0
14.32,12,0
15.36,1,0
15.78,2,0
17.41,3,0
17.44,4,0
18.87,5,0
18.96,6,0
18.51,7,0
