year,month,beer,dlogbeer,obs317,obs318
1956,1,93.2,,0,0
1956,2,96,0.0296004698,0,0
1956,3,95.2,-0.00836825,0,0
1956,4,77.1,-0.210876661,0,0
1956,5,70.9,-0.083832847,0,0
1956,6,64.8,-0.08996483,0,0
1956,7,70.1,0.0786171907,0,0
1956,8,77.3,0.0977711616,0,0
1956,9,79.5,0.0280630661,0,0
1956,10,100.6,0.235395236,0,0
1956,11,100.7,0.0009935421,0,0
1956,12,107.1,0.0616171777,0,0
1957,1,95.9,-0.110456996,0,0
1957,2,82.8,-0.14687792,0,0
1957,3,83.3,0.0060204878,0,0
1957,4,80,-0.040421914,0,0
1957,5,80.4,0.0049875415,0,0
1957,6,67.5,-0.174886578,0,0
1957,7,75.7,0.1146505626,0,0
1957,8,71.1,-0.062690824,0,0
1957,9,89.3,0.2279141511,0,0
1957,10,101.1,0.1241086381,0,0
1957,11,105.2,0.0397531743,0,0
1957,12,114.1,0.0812119566,0,0
1958,1,96.3,-0.169606938,0,0
1958,2,84.4,-0.131900917,0,0
1958,3,91.2,0.0774874955,0,0
1958,4,81.9,-0.107555906,0,0
1958,5,80.5,-0.017241806,0,0
1958,6,70.4,-0.134063921,0,0
1958,7,74.8,0.0606246218,0,0
1958,8,75.9,0.0145987994,0,0
1958,9,86.3,0.1284129137,0,0
1958,10,98.7,0.1342553484,0,0
1958,11,100.9,0.0220449809,0,0
1958,12,113.8,0.1203125943,0,0
1959,1,89.8,-0.236857546,0,0
1959,2,84.4,-0.062017574,0,0
1959,3,87.2,0.0326369293,0,0
1959,4,85.6,-0.018519048,0,0
1959,5,72,-0.173019164,0,0
1959,6,69.2,-0.039665256,0,0
1959,7,77.5,0.1132770737,0,0
1959,8,78.1,0.0077121205,0,0
1959,9,94.3,0.1884911328,0,0
1959,10,97.7,0.0354203694,0,0
1959,11,100.2,0.0252666296,0,0
1959,12,116.4,0.1498643466,0,0
1960,1,97.1,-0.18129116,0,0
1960,2,93,-0.043141882,0,0
1960,3,96,0.0317486983,0,0
1960,4,80.5,-0.176091007,0,0
1960,5,76.1,-0.05620892,0,0
1960,6,69.9,-0.084982616,0,0
1960,7,73.6,0.0515793765,0,0
1960,8,92.6,0.2296441159,0,0
1960,9,94.2,0.0171310399,0,0
1960,10,93.5,-0.007458745,0,0
1960,11,108.5,0.1487887367,0,0
1960,12,109.4,0.008260717,0,0
1961,1,105.1,-0.040098612,0,0
1961,2,92.5,-0.127703633,0,0
1961,3,97.1,0.0485327308,0,0
1961,4,81.4,-0.176366102,0,0
1961,5,79.1,-0.028662398,0,0
1961,6,72.1,-0.09265883,0,0
1961,7,78.7,0.0875891111,0,0
1961,8,87.1,0.1014137284,0,0
1961,9,91.4,0.0481885946,0,0
1961,10,109.9,0.1843253829,0,0
1961,11,116.3,0.0566021981,0,0
1961,12,113,-0.028785241,0,0
1962,1,100,-0.122217633,0,0
1962,2,84.8,-0.164874643,0,0
1962,3,94.3,0.1061856468,0,0
1962,4,87.1,-0.079424306,0,0
1962,5,90.3,0.0360805766,0,0
1962,6,72.4,-0.220931161,0,0
1962,7,84.9,0.1592677939,0,0
1962,8,92.7,0.0878943793,0,0
1962,9,92.2,-0.005408342,0,0
1962,10,114.9,0.2201020543,0,0
1962,11,112.5,-0.021108963,0,0
1962,12,118.3,0.0502705493,0,0
1963,1,106,-0.109784677,0,0
1963,2,91.2,-0.150384197,0,0
1963,3,96.6,0.0575238441,0,0
1963,4,96.3,-0.003110422,0,0
1963,5,88.2,-0.087861356,0,0
1963,6,70.2,-0.228258652,0,0
1963,7,86.5,0.2087961029,0,0
1963,8,88.2,0.0194625491,0,0
1963,9,102.8,0.15317839,0,0
1963,10,119.1,0.1471781233,0,0
1963,11,119.2,0.0008392783,0,0
1963,12,125.1,0.0483106628,0,0
1964,1,106.1,-0.164731372,0,0
1964,2,102.1,-0.03842932,0,0
1964,3,105.2,0.0299105751,0,0
1964,4,101,-0.040742783,0,0
1964,5,84.3,-0.180738652,0,0
1964,6,87.5,0.0372569284,0,0
1964,7,92.7,0.0577296792,0,0
1964,8,94.4,0.0181726006,0,0
1964,9,113,0.1798467456,0,0
1964,10,113.9,0.0079330517,0,0
1964,11,122.9,0.0760501461,0,0
1964,12,132.7,0.0767199248,0,0
1965,1,106.9,-0.216197123,0,0
1965,2,96.6,-0.101315077,0,0
1965,3,127.3,0.2759677643,0,0
1965,4,98.2,-0.25954029,0,0
1965,5,100.2,0.0201619733,0,0
1965,6,89.4,-0.114047506,0,0
1965,7,95.3,0.0639091285,0,0
1965,8,104.2,0.0892823187,0,0
1965,9,106.4,0.0208934476,0,0
1965,10,116.2,0.0881072675,0,0
1965,11,135.9,0.1566064767,0,0
1965,12,134,-0.014079521,0,0
1966,1,104.6,-0.247696248,0,0
1966,2,107.1,0.0236194258,0,0
1966,3,123.5,0.1424781786,0,0
1966,4,98.8,-0.223143551,0,0
1966,5,98.6,-0.002026343,0,0
1966,6,90.6,-0.084617049,0,0
1966,7,89.1,-0.016694879,0,0
1966,8,105.2,0.1661039658,0,0
1966,9,114,0.0803351481,0,0
1966,10,122.1,0.0686419327,0,0
1966,11,138,0.122413304,0,0
1966,12,142.2,0.0299808322,0,0
1967,1,116.4,-0.200201982,0,0
1967,2,112.6,-0.03319082,0,0
1967,3,123.8,0.0948256445,0,0
1967,4,103.6,-0.17813003,0,0
1967,5,113.9,0.0947835406,0,0
1967,6,98.6,-0.144249609,0,0
1967,7,95,-0.03719437,0,0
1967,8,116,0.1997132995,0,0
1967,9,113.9,-0.018269321,0,0
1967,10,127.5,0.1127954941,0,0
1967,11,131.4,0.0301297415,0,0
1967,12,145.9,0.1046753495,0,0
1968,1,131.5,-0.103914604,0,0
1968,2,131,-0.003809528,0,0
1968,3,130.5,-0.003824096,0,0
1968,4,118.9,-0.093090423,0,0
1968,5,114.3,-0.039456233,0,0
1968,6,85.7,-0.287973745,0,0
1968,7,104.6,0.199290726,0,0
1968,8,105.1,0.0047687263,0,0
1968,9,117.3,0.1098224778,0,0
1968,10,142.5,0.194607244,0,0
1968,11,140,-0.017699577,0,0
1968,12,159.8,0.1322806107,0,0
1969,1,131.2,-0.197200157,0,0
1969,2,125.4,-0.045214248,0,0
1969,3,126.5,0.00873368,0,0
1969,4,119.4,-0.057763107,0,0
1969,5,113.5,-0.050676364,0,0
1969,6,98.7,-0.13971789,0,0
1969,7,114.5,0.1484898766,0,0
1969,8,113.8,-0.006132301,0,0
1969,9,133.1,0.1566582037,0,0
1969,10,143.4,0.0745372028,0,0
1969,11,137.3,-0.043469615,0,0
1969,12,165.2,0.1849885483,0,0
1970,1,126.9,-0.263757486,0,0
1970,2,124,-0.023117809,0,0
1970,3,135.7,0.0901650012,0,0
1970,4,130,-0.042912116,0,0
1970,5,109.4,-0.17252356,0,0
1970,6,117.8,0.0739773812,0,0
1970,7,120.3,0.0210003518,0,0
1970,8,121,0.0058019226,0,0
1970,9,132.3,0.0892815255,0,0
1970,10,142.9,0.0770730138,0,0
1970,11,147.4,0.0310048948,0,0
1970,12,175.9,0.176765672,0,0
1971,1,132.6,-0.282578574,0,0
1971,2,123.7,-0.069477798,0,0
1971,3,153.3,0.2145375065,0,0
1971,4,134,-0.134556986,0,0
1971,5,119.6,-0.113686958,0,0
1971,6,116.2,-0.028839997,0,0
1971,7,118.6,0.0204436421,0,0
1971,8,130.7,0.0971481341,0,0
1971,9,129.3,-0.010769335,0,0
1971,10,144.4,0.1104519407,0,0
1971,11,163.2,0.1223892161,0,0
1971,12,179.4,0.0946415071,0,0
1972,1,128.1,-0.336806741,0,0
1972,2,138.4,0.0773368343,0,0
1972,3,152.7,0.098327169,0,0
1972,4,120,-0.240983469,0,0
1972,5,140.5,0.157715746,0,0
1972,6,116.2,-0.189894644,0,0
1972,7,121.4,0.0437780342,0,0
1972,8,127.8,0.0513756633,0,0
1972,9,143.6,0.1165651147,0,0
1972,10,157.6,0.0930285208,0,0
1972,11,166.2,0.053131705,0,0
1972,12,182.3,0.0924617993,0,0
1973,1,153.1,-0.174562379,0,0
1973,2,147.6,-0.03658539,0,0
1973,3,157.7,0.0661885818,0,0
1973,4,137.2,-0.139254779,0,0
1973,5,151.5,0.0991459097,0,0
1973,6,98.7,-0.428500679,0,0
1973,7,145.8,0.3901508731,0,0
1973,8,151.7,0.0396690668,0,0
1973,9,129.4,-0.158996504,0,0
1973,10,174.1,0.2967214647,0,0
1973,11,197,0.123573882,0,0
1973,12,193.9,-0.015861166,0,0
1974,1,164.1,-0.166866564,0,0
1974,2,142.8,-0.139030948,0,0
1974,3,157.9,0.1005168714,0,0
1974,4,159.2,0.0081993521,0,0
1974,5,162.2,0.0186688683,0,0
1974,6,123.1,-0.275833108,0,0
1974,7,130,0.0545374173,0,0
1974,8,150.1,0.1437672882,0,0
1974,9,169.4,0.1209610436,0,0
1974,10,179.7,0.0590260116,0,0
1974,11,182.1,0.0132671929,0,0
