year,month,time,beer,c348,s348,c432,s432
1987,1,1,15.601,-0.577572703,0.8163392507,-0.910105971,0.414375581
1987,2,2,15.633,-0.332819545,-0.942990536,0.6565857558,-0.754251381
1987,3,3,17.656,0.9620276716,0.2729519355,-0.285019262,0.958521789
1987,4,4,17.422,-0.778462302,0.6276913613,-0.137790291,-0.990461426
1987,5,5,17.436,-0.06279052,-0.998026728,0.535826795,0.8443279255
1987,6,6,18.584,0.8509944818,0.52517463,-0.83752804,-0.546394347
1987,7,7,18.091,-0.920231847,0.3913736668,0.9886517447,0.1502255891
1987,8,8,16.807,0.2120071099,-0.977268124,-0.962027672,0.2729519355
1987,9,9,15.824,0.6753328081,0.7375131174,0.762442511,-0.647055962
1987,10,10,15.497,-0.992114701,0.1253332336,-0.425779292,0.9048270525
1987,11,11,13.184,0.4707039322,-0.882291226,0.0125660399,-0.999921044
1987,12,12,13.687,0.4483832161,0.8938414242,0.4029064357,0.9152411726
1988,1,13,15.801,-0.988651745,-0.150225589,-0.745941145,-0.666011867
1988,2,14,15.85,0.6936533058,-0.720309025,0.9548645447,0.2970415816
1988,3,15,17.125,0.1873813146,0.9822872507,-0.992114701,0.1253332336
1988,4,16,17.728,-0.910105971,-0.414375581,0.8509944818,-0.52517463
1988,5,17,18.31,0.8639234172,-0.503623202,-0.556875616,0.8305958992
1988,6,18,18.584,-0.087851197,0.9961336091,0.1626371652,-0.986685944
1988,7,19,18.172,-0.762442511,-0.647055962,0.2608415063,0.9653816388
1988,8,20,17.725,0.9685831611,-0.248689887,-0.63742399,-0.770513243
1988,9,21,15.777,-0.356411879,0.9343289425,0.8994052516,0.4371157667
1988,10,22,15.61,-0.556875616,-0.830595899,-0.999684189,-0.025130095
1988,11,23,14.019,0.9996841893,0.0251300954,0.9202318474,-0.391373667
1988,12,24,13.322,-0.597904983,0.8015669849,-0.675332808,0.7375131174
1989,1,25,15.877,-0.309016994,-0.951056516,0.3090169944,-0.951056516
1989,2,26,15.292,0.9548645447,0.2970415816,0.1128563849,0.9936113105
1989,3,27,17.569,-0.793990399,0.6079302977,-0.514439534,-0.857526656
1989,4,28,17.298,-0.037690183,-0.999289473,0.8235325976,0.5672689491
1989,5,29,18.409,0.83752804,0.5463943467,-0.984564335,-0.175023059
1989,6,30,18.821,-0.929776486,0.3681245527,0.9685831611,-0.248689887
1989,7,31,18.283,0.236498997,-0.971631733,-0.778462302,0.6276913613
1989,8,32,18.885,0.6565857558,0.7542513807,0.4483832161,-0.893841424
1989,9,33,15.625,-0.994951017,0.1003617149,-0.037690183,0.9992894726
1989,10,34,15.825,0.4927273415,-0.870183755,-0.379779096,-0.925077207
1989,11,35,14.785,0.4257792916,0.9048270525,0.7289686274,0.6845471059
1989,12,36,13.455,-0.984564335,-0.175023059,-0.947098305,-0.32094361
1990,1,37,16.457,0.7115356772,-0.70264997,0.994951017,-0.100361715
1990,2,38,15.745,0.1626371652,0.9866859442,-0.863923417,0.5036232016
