year,month,monthlength,time,rainfall
1979,1,31,1,90
1979,2,28,2,193
1979,3,31,3,92
1979,4,30,4,148
1979,5,31,5,0
1979,6,30,6,88
1979,7,31,7,0
1979,8,31,8,45
1979,9,30,9,157
1979,10,31,10,58
1979,11,30,11,132
1979,12,31,12,79
1980,1,31,13,13
1980,2,29,14,85
1980,3,31,15,149
1980,4,30,16,344
1980,5,31,17,84
1980,6,30,18,12
1980,7,31,19,10
1980,8,31,20,32
1980,9,30,21,22
1980,10,31,22,20
1980,11,30,23,137
1980,12,31,24,50
1981,1,31,25,325
1981,2,28,26,301
1981,3,31,27,84
1981,4,30,28,285
1981,5,31,29,180
1981,6,30,30,0
1981,7,31,31,62
1981,8,31,32,42
1981,9,30,33,8
1981,10,31,34,40
1981,11,30,35,280
1981,12,31,36,221
1982,1,31,37,92
1982,2,28,38,127
1982,3,31,39,85
1982,4,30,40,162
1982,5,31,41,92
1982,6,30,42,36
1982,7,31,43,0
1982,8,31,44,0
1982,9,30,45,179
1982,10,31,46,11
1982,11,30,47,97
1982,12,31,48,138
1983,1,31,49,116
1983,2,28,50,128
1983,3,31,51,129
1983,4,30,52,179
1983,5,31,53,58
1983,6,30,54,0
1983,7,31,55,53
1983,8,31,56,138
1983,9,30,57,69
1983,10,31,58,82
1983,11,30,59,74
1983,12,31,60,28
1984,1,31,61,119
1984,2,29,62,506
1984,3,31,63,110
1984,4,30,64,67
1984,5,31,65,13
1984,6,30,66,29
1984,7,31,67,10
1984,8,31,68,7
1984,9,30,69,201
1984,10,31,70,339
1984,11,30,71,90
1984,12,31,72,95
1985,1,31,73,43
1985,2,28,74,223
1985,3,31,75,89
1985,4,30,76,146
1985,5,31,77,125
1985,6,30,78,20
1985,7,31,79,60
1985,8,31,80,42
1985,9,30,81,117
1985,10,31,82,153
1985,11,30,83,85
1985,12,31,84,35
1986,1,31,85,163
1986,2,28,86,131
1986,3,31,87,109
1986,4,30,88,257
1986,5,31,89,104
1986,6,30,90,86
1986,7,31,91,65
1986,8,31,92,54
1986,9,30,93,76
1986,10,31,94,56
1986,11,30,95,218
1986,12,31,96,86
1987,1,31,97,126
1987,2,28,98,100
1987,3,31,99,307
1987,4,30,100,56
1987,5,31,101,164
1987,6,30,102,0
1987,7,31,103,31
1987,8,31,104,55
1987,9,30,105,16
1987,10,31,106,136
1987,11,30,107,141
1987,12,31,108,25
1988,1,31,109,192
1988,2,29,110,53
1988,3,31,111,103
1988,4,30,112,14
1988,5,31,113,5
1988,6,30,114,11
1988,7,31,115,51
1988,8,31,116,40
1988,9,30,117,110
1988,10,31,118,133
1988,11,30,119,85
1988,12,31,120,148
1989,1,31,121,63
1989,2,28,122,11
1989,3,31,123,177
1989,4,30,124,155
1989,5,31,125,36
1989,6,30,126,29
1989,7,31,127,0
1989,8,31,128,73
1989,9,30,129,0
1989,10,31,130,76
1989,11,30,131,91
1989,12,31,132,143
1990,1,31,133,217
1990,2,28,134,270
1990,3,31,135,257
1990,4,30,136,88
1990,5,31,137,5
1990,6,30,138,12
1990,7,31,139,47
1990,8,31,140,7
1990,9,30,141,21
1990,10,31,142,187
1990,11,30,143,112
1990,12,31,144,313
1991,1,31,145,145
1991,2,28,146,7
1991,3,31,147,30
1991,4,30,148,148
1991,5,31,149,237
1991,6,30,150,123
1991,7,31,151,18
1991,8,31,152,55
1991,9,30,153,40
1991,10,31,154,53
1991,11,30,155,138
1991,12,31,156,327
1992,1,31,157,100
1992,2,29,158,63
1992,3,31,159,161
1992,4,30,160,242
1992,5,31,161,10
1992,6,30,162,0
1992,7,31,163,30
1992,8,31,164,60
1992,9,30,165,43
1992,10,31,166,168
1992,11,30,167,151
1992,12,31,168,224
1993,1,31,169,145
1993,2,28,170,37
1993,3,31,171,38
1993,4,30,172,99
1993,5,31,173,78
1993,6,30,174,27
1993,7,31,175,3
1993,8,31,176,13
1993,9,30,177,8
1993,10,31,178,318
1993,11,30,179,243
1993,12,31,180,135
1994,1,31,181,88
1994,2,28,182,87
1994,3,31,183,138
1994,4,30,184,128
1994,5,31,185,57
1994,6,30,186,27
1994,7,31,187,16
1994,8,31,188,33
1994,9,30,189,10
1994,10,31,190,97
1994,11,30,191,97
1994,12,31,192,23
