sales,time,month,logsales,obs96,c1,s1,c2,s2,c3,s3,c4,s4,c5,s5,c6,wtgrant
296,1,1,5.69035945,0,0.866025,0.5,0.5,0.866025,6.12e-17,1,-0.5,0.866025,-0.86603,0.5,-1,0
303,2,2,5.71373281,0,0.5,0.866025,-0.5,0.866025,-1,1.22e-16,-0.5,-0.86603,0.5,-0.86603,1,0
365,3,3,5.89989735,0,6.12e-17,1,-1,1.22e-16,-1.8e-16,-1,1,-2.4e-16,3.06e-16,1,-1,0
363,4,4,5.89440283,0,-0.5,0.866025,-0.5,-0.86603,1,-2.4e-16,-0.5,0.866025,-0.5,-0.86603,1,0
417,5,5,6.03308622,0,-0.86603,0.5,0.5,-0.86603,3.06e-16,1,-0.5,-0.86603,0.866025,0.5,-1,0
421,6,6,6.04263283,0,-1,1.22e-16,1,-2.4e-16,-1,3.67e-16,1,-4.9e-16,-1,6.12e-16,1,0
404,7,7,6.00141488,0,-0.86603,-0.5,0.5,0.866025,-4.3e-16,-1,-0.5,0.866025,0.866025,-0.5,-1,0
436,8,8,6.07764224,0,-0.5,-0.86603,-0.5,0.866025,1,-4.9e-16,-0.5,-0.86603,-0.5,0.866025,1,0
421,9,9,6.04263283,0,-1.8e-16,-1,-1,3.67e-16,5.51e-16,1,1,-7.3e-16,8.58e-16,-1,-1,0
429,10,10,6.06145692,0,0.5,-0.86603,-0.5,-0.86603,-1,6.12e-16,-0.5,0.866025,0.5,0.866025,1,0
499,11,11,6.2126061,0,0.866025,-0.5,0.5,-0.86603,-2.4e-15,-1,-0.5,-0.86603,-0.86603,-0.5,-1,0
915,12,12,6.81892407,0,1,-2.4e-16,1,-4.9e-16,1,-7.3e-16,1,-9.8e-16,1,-1.2e-15,1,0
331,13,1,5.80211838,0,0.866025,0.5,0.5,0.866025,-9.8e-16,1,-0.5,0.866025,-0.86603,0.5,-1,0
361,14,2,5.88887796,0,0.5,0.866025,-0.5,0.866025,-1,8.57e-16,-0.5,-0.86603,0.5,-0.86603,1,0
402,15,3,5.99645209,0,1.19e-15,1,-1,2.39e-15,-2.7e-15,-1,1,-4.8e-15,-2.5e-16,1,-1,0
426,16,4,6.05443935,0,-0.5,0.866025,-0.5,-0.86603,1,-9.8e-16,-0.5,0.866025,-0.5,-0.86603,1,0
460,17,5,6.13122649,0,-0.86603,0.5,0.5,-0.86603,-7.4e-16,1,-0.5,-0.86603,0.866025,0.5,-1,0
457,18,6,6.12468339,0,-1,3.67e-16,1,-7.3e-16,-1,1.1e-15,1,-1.5e-15,-1,-1.7e-15,1,0
451,19,7,6.11146734,0,-0.86603,-0.5,0.5,0.866025,-2.9e-15,-1,-0.5,0.866025,0.866025,-0.5,-1,0
476,20,8,6.16541785,0,-0.5,-0.86603,-0.5,0.866025,1,-1.2e-15,-0.5,-0.86603,-0.5,0.866025,1,0
436,21,9,6.07764224,0,-4.3e-16,-1,-1,8.57e-16,-4.9e-16,1,1,-1.7e-15,3.19e-15,-1,-1,0
464,22,10,6.13988455,0,0.5,-0.86603,-0.5,-0.86603,-1,4.9e-15,-0.5,0.866025,0.5,0.866025,1,0
525,23,11,6.26339826,0,0.866025,-0.5,0.5,-0.86603,-3.2e-15,-1,-0.5,-0.86603,-0.86603,-0.5,-1,0
939,24,12,6.84481548,0,1,-4.9e-16,1,-9.8e-16,1,-1.5e-15,1,-2e-15,1,-2.4e-15,1,0
345,25,1,5.84354442,0,0.866025,0.5,0.5,0.866025,-2.5e-16,1,-0.5,0.866025,-0.86603,0.5,-1,0
364,26,2,5.89715387,0,0.5,0.866025,-0.5,0.866025,-1,-2e-15,-0.5,-0.86603,0.5,-0.86603,1,0
427,27,3,6.05678401,0,5.51e-16,1,-1,1.1e-15,-3.4e-15,-1,1,-2.2e-15,9.79e-16,1,-1,0
445,28,4,6.09807428,0,-0.5,0.866025,-0.5,-0.86603,1,-1.7e-15,-0.5,0.866025,-0.5,-0.86603,1,0
478,29,5,6.16961073,0,-0.86603,0.5,0.5,-0.86603,-6.8e-19,1,-0.5,-0.86603,0.866025,0.5,-1,0
492,30,6,6.19847872,0,-1,2.39e-15,1,-4.8e-15,-1,5.39e-15,1,-9.6e-15,-1,-4.9e-16,1,0
469,31,7,6.15060277,0,-0.86603,-0.5,0.5,0.866025,-3.7e-15,-1,-0.5,0.866025,0.866025,-0.5,-1,0
501,32,8,6.2166061,0,-0.5,-0.86603,-0.5,0.866025,1,-2e-15,-0.5,-0.86603,-0.5,0.866025,1,0
459,33,9,6.12905021,0,1.1e-15,-1,-1,-2.2e-15,2.44e-16,1,1,4.41e-15,1.96e-15,-1,-1,0
494,34,10,6.20253552,0,0.5,-0.86603,-0.5,-0.86603,-1,-1.5e-15,-0.5,0.866025,0.5,0.866025,1,0
548,35,11,6.30627529,0,0.866025,-0.5,0.5,-0.86603,-3.9e-15,-1,-0.5,-0.86603,-0.86603,-0.5,-1,0
